"analyte","parameter","NRM","Estimate","Std..Error","t.value","Pr...t..","fdr_pval","sig_t_or_f","scenario","parameter_groups"
"PN_SHIM_QAQC","(Intercept)","burdekin",0.303264891933688,0.113574125422889,2.67019350406172,0.01130465838109,0.0452186335243599,1,"Pre-2015-S2","Intercept"
"PN_SHIM_QAQC","SHORT_NAMEBUR2","burdekin",0.25107669072043,0.117495039801451,2.13691310837216,0.0394713630717642,0.118414089215293,0,"Pre-2015-S2","Sites"
"PN_SHIM_QAQC","SHORT_NAMEBUR4","burdekin",0.463679406482057,0.117501164489907,3.94616860603018,0.000352668186637014,0.00211600911982208,1,"Pre-2015-S2","Sites"
"PN_SHIM_QAQC","Date_2","burdekin",-0.00016149092453342,9.82323072413198e-05,-1.64396957649277,0.108888841439804,0.217777682879608,0,"Pre-2015-S2","Trend"
"PN_SHIM_QAQC","SEAS_C1","burdekin",0.254710321718906,0.0706838794220961,3.60351361302451,0.000941566859237593,0.00470783429618796,1,"Pre-2015-S2","Seasonal"
"PN_SHIM_QAQC","SEAS_C2","burdekin",-0.0286019732993978,0.0683629553617782,-0.418384096299458,0.678151765086392,0.678151765086392,0,"Pre-2015-S2","Seasonal"
"PN_SHIM_QAQC","(Intercept)","burdekin",0.149440090707463,0.13238888047079,1.12879639268824,0.266661637293496,1,0,"Pre-2015-S3","Intercept"
"PN_SHIM_QAQC","SHORT_NAMEBUR2","burdekin",0.129986825818851,0.141116260336096,0.921132869516681,0.363287029132453,1,0,"Pre-2015-S3","Sites"
"PN_SHIM_QAQC","SHORT_NAMEBUR4","burdekin",0.278681390242444,0.141085330292406,1.97526836890031,0.0561657188697583,0.280828594348791,0,"Pre-2015-S3","Sites"
"PN_SHIM_QAQC","Date_2","burdekin",0.000109942610511219,0.000121555843678537,0.904461745187427,0.371934458649878,1,0,"Pre-2015-S3","Trend"
"PN_SHIM_QAQC","SEAS_C1","burdekin",0.286354460001753,0.0904214467271942,3.16688651162261,0.00318863879587682,0.0191318327752609,1,"Pre-2015-S3","Seasonal"
